last,first,pos,num,comb,GP,TOI,TOI_5v5
MACKINNON,NATHAN,C,29,NATHAN MACKINNON,72.0,1358:18,1031:20
PEDAN,ANDREY,D,29,ANDREY PEDAN,13.0,142:23,135:04
GOLOUBEF,CODY,D,29,CODY GOLOUBEF,43.0,650:27,598:25
ENGELLAND,DERYK,D,29,DERYK ENGELLAND,69.0,1050:58,947:52
MCCABE,JAKE,D,29,JAKE MCCABE,77.0,1471:16,1295:41
VALIEV,RINAT,D,29,RINAT VALIEV,10.0,122:30,119:39
KOEKKOEK,SLATER,D,29,SLATER KOEKKOEK,9.0,92:49,92:02
BRENNAN,TJ,D,29,TJ BRENNAN,7.0,105:41,97:53
LINDBACK,ANDERS,G,29,ANDERS LINDBACK,,,
FLEURY,MARC-ANDRE,G,29,MARC-ANDRE FLEURY,,,
O'CONNOR,MATTHEW,G,29,MATTHEW O'CONNOR,,,
EMERY,RAY,G,29,RAY EMERY,,,
BICKELL,BRYAN,L,29,BRYAN BICKELL,25.0,244:42,239:10
STEWART,CHRIS,R,29,CHRIS STEWART,56.0,604:31,542:03
POMINVILLE,JASON,R,29,JASON POMINVILLE,75.0,1224:16,983:50
HAVLAT,MARTIN,R,29,MARTIN HAVLAT,2.0,21:47,19:53
COYLE,CHARLIE,C,3,CHARLIE COYLE,82.0,1414:03,1125:08
MCNABB,BRAYDEN,D,3,BRAYDEN MCNABB,81.0,1524:01,1338:09
BIGRAS,CHRIS,D,3,CHRIS BIGRAS,31.0,413:36,390:43
STONER,CLAYTON,D,3,CLAYTON STONER,50.0,768:01,669:48
KLINGBERG,JOHN,D,3,JOHN KLINGBERG,76.0,1723:51,1359:09
METHOT,MARC,D,3,MARC METHOT,69.0,1425:20,1221:05
PYSYK,MARK,D,3,MARK PYSYK,55.0,874:40,789:00
MAATTA,OLLI,D,3,OLLI MAATTA,67.0,1337:04,1119:41
GUDAS,RADKO,D,3,RADKO GUDAS,76.0,1507:32,1232:23
JONES,SETH,D,3,SETH JONES,81.0,1788:12,1345:35
KAMPFER,STEVEN,D,3,STEVEN KAMPFER,47.0,709:13,631:21
HAMONIC,TRAVIS,D,3,TRAVIS HAMONIC,72.0,1715:18,1399:32
DELL,AARON,G,30,AARON DELL,,,
HAMMOND,ANDREW,G,30,ANDREW HAMMOND,,,
BIBEAU,ANTOINE,G,30,ANTOINE BIBEAU,,,
KHUDOBIN,ANTON,G,30,ANTON KHUDOBIN,,,
BISHOP,BEN,G,30,BEN BISHOP,,,
WARD,CAM,G,30,CAM WARD,,,
HUTTON,CARTER,G,30,CARTER HUTTON,,,
HELLEBUYCK,CONNOR,G,30,CONNOR HELLEBUYCK,,,
MCELHINNEY,CURTIS,G,30,CURTIS MCELHINNEY,,,
LUNDQVIST,HENRIK,G,30,HENRIK LUNDQVIST,,,
BERUBE,JEAN-FRANCOIS,G,30,JEAN-FRANCOIS BERUBE,,,
SMITH,JEREMY,G,30,JEREMY SMITH,,,
LANGHAMER,MAREK,G,30,MAREK LANGHAMER,,,
MURRAY,MATTHEW,G,30,MATTHEW MURRAY,,,
NEUVIRTH,MICHAL,G,30,MICHAL NEUVIRTH,,,
MCKENNA,MIKE,G,30,MIKE MCKENNA,,,
