last,first,pos,num,comb,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
MERSCH,MICHAEL,L,49,MICHAEL MERSCH,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
GALIEV,STANISLAV,R,49,STANISLAV GALIEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKBLAD,AARON,D,5,AARON EKBLAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARSSON,ADAM,D,5,ADAM LARSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACKMAN,BARRET,D,5,BARRET JACKMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUHWEDEL,CHAD,D,5,CHAD RUHWEDEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLIN,CHRISTIAN,D,5,CHRISTIAN FOLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CECI,CODY,D,5,CODY CECI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURPHY,CONNOR,D,5,CONNOR MURPHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIRARDI,DAN,D,5,DAN GIRARDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNDBLAD,DAVID,D,5,DAVID RUNDBLAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCBAIN,JAMIE,D,5,JAMIE MCBAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLEKSIAK,JAMIE,D,5,JAMIE OLEKSIAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARRISON,JASON,D,5,JASON GARRISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLZER,KORBINIAN,D,5,KORBINIAN HOLZER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBISA,LUCA,D,5,LUCA SBISA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAYNE,MARK,D,5,MARK FAYNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIORDANO,MARK,D,5,MARK GIORDANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STUART,MARK,D,5,MARK STUART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUENIN,NATE,D,5,NATE GUENIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HANIFIN,NOAH,D,5,NOAH HANIFIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMETTE,ANTOINE,C,50,ANTOINE VERMETTE,754.0,597.0,204.0,231.0,319.0,225.0,244.0,279.0,6.0,519.0,555.0,50.0,149.0,202.0,181.0,214.0,209.0,200.0,184.0,4.0,443.0,462.0,42.0,93.0
GAUNCE,BRENDAN,C,50,BRENDAN GAUNCE,49.0,58.0,20.0,18.0,11.0,21.0,14.0,14.0,0.0,40.0,40.0,9.0,0.0,27.0,18.0,13.0,20.0,16.0,22.0,0.0,51.0,52.0,4.0,2.0
TIERNEY,CHRIS,C,50,CHRIS TIERNEY,368.0,437.0,143.0,145.0,80.0,127.0,118.0,123.0,0.0,294.0,297.0,63.0,8.0,172.0,191.0,74.0,134.0,123.0,180.0,0.0,349.0,354.0,79.0,4.0
PELECH,ADAM,D,50,ADAM PELECH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIELOFF,PATRICK,D,50,PATRICK SIELOFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERCY,STUART,D,50,STUART PERCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAWFORD,COREY,G,50,COREY CRAWFORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSTAVSSON,JONAS,G,50,JONAS GUSTAVSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BINNINGTON,JORDAN,G,50,JORDAN BINNINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDLEVSKIS,KRISTERS,G,50,KRISTERS GUDLEVSKIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIEUWEN,NATHAN,G,50,NATHAN LIEUWEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHALEK,STEVE,G,50,STEVE MICHALEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANDER,ANTON,C,51,ANTON LANDER,378.0,315.0,163.0,105.0,110.0,116.0,140.0,121.0,1.0,274.0,285.0,63.0,30.0,161.0,89.0,65.0,108.0,113.0,91.0,3.0,225.0,234.0,62.0,19.0
DESHARNAIS,DAVID,C,51,DAVID DESHARNAIS,391.0,412.0,89.0,148.0,154.0,121.0,134.0,132.0,4.0,316.0,333.0,0.0,58.0,115.0,150.0,147.0,142.0,133.0,131.0,6.0,357.0,377.0,2.0,33.0
NIELSEN,FRANS,C,51,FRANS NIELSEN,586.0,583.0,255.0,178.0,153.0,206.0,194.0,180.0,6.0,447.0,461.0,88.0,37.0,224.0,199.0,160.0,181.0,209.0,185.0,8.0,422.0,448.0,105.0,30.0
SPOONER,RYAN,C,51,RYAN SPOONER,304.0,407.0,81.0,119.0,104.0,105.0,115.0,82.0,2.0,281.0,295.0,3.0,6.0,105.0,147.0,155.0,130.0,136.0,137.0,4.0,378.0,392.0,6.0,9.0
KALININ,SERGEY,C,51,SERGEY KALININ,134.0,188.0,33.0,53.0,48.0,45.0,56.0,33.0,0.0,126.0,126.0,3.0,5.0,57.0,83.0,48.0,68.0,71.0,49.0,0.0,170.0,173.0,3.0,12.0
FILPPULA,VALTTERI,C,51,VALTTERI FILPPULA,632.0,584.0,216.0,207.0,209.0,211.0,198.0,212.0,11.0,465.0,500.0,66.0,66.0,207.0,186.0,191.0,200.0,202.0,180.0,2.0,399.0,425.0,78.0,81.0
CAMPBELL,BRIAN,D,51,BRIAN CAMPBELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POULIOT,DERRICK,D,51,DERRICK POULIOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYUTIN,FEDOR,D,51,FEDOR TYUTIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
