last,first,pos,num,comb,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
WIDEMAN,CHRIS,D,45,CHRIS WIDEMAN,22.0,0.0,0.0,22.0,5.0,9.0,7.0,1.0,19.0,20.0,2.0,0.0,145.0,132.0,186.0,179.0,17.0,4.0,1.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
MORROW,JOE,D,45,JOE MORROW,9.0,0.0,0.0,9.0,2.0,5.0,2.0,0.0,5.0,7.0,2.0,0.0,95.0,71.0,106.0,92.0,8.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
BARBERIO,MARK,D,45,MARK BARBERIO,17.0,0.0,0.0,17.0,7.0,3.0,7.0,0.0,10.0,10.0,7.0,0.0,81.0,67.0,67.0,62.0,13.0,2.0,2.0,10.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
VATANEN,SAMI,D,45,SAMI VATANEN,57.0,1.0,2.0,54.0,21.0,21.0,14.0,1.0,31.0,34.0,21.0,2.0,364.0,236.0,283.0,202.0,50.0,4.0,3.0,21.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0
ELLIOTT,STEFAN,D,45,STEFAN ELLIOTT,10.0,0.0,1.0,9.0,4.0,5.0,1.0,0.0,7.0,7.0,3.0,0.0,61.0,54.0,63.0,62.0,9.0,1.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LABARBERA,JASON,G,45,JASON LABARBERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERNIER,JONATHAN,G,45,JONATHAN BERNIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,357.0,451.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLBERG,MAGNUS,G,45,MAGNUS HELLBERG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVERBERG,DENNIS,R,45,DENNIS EVERBERG,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,15.0,15.0,28.0,26.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ARCHIBALD,JOSH,R,45,JOSH ARCHIBALD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
