,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
649,SPURGEON,JARED,D,46,77.0,29.0661111111,22.7058333333,54.699599956,55.0519323228,-0.352332366866,41.4430946526,40.2099313686,1.23316328403,5.0647777737,5.0647777737,0.0,5.0647777737,0.0,5.63731786986,2.1139942012,2.1139942012,0.0,2.06995265534,0.0440415458583,0.26424927515,3.87565603553,0.74870627959,0.660623187874,0.0,-1.60998232967,-0.899289614674
650,WIERCIOCH,PATRICK,D,46,52.0,15.0183333333,13.5522222222,54.9725342297,58.1454456014,-3.17291137165,39.7720751004,44.3469705665,-4.5748954661,3.76322046405,3.6894318275,0.07378863655,3.6894318275,0.07378863655,3.91079773715,3.8370091006,3.8370091006,0.0,3.76322046405,0.07378863655,0.0,3.5418545544,2.43502500615,0.51652045585,0.07378863655,1.04288276027,0.187290895528
651,POLAK,ROMAN,D,46,79.0,25.2230555556,21.0252777778,53.6972691601,53.8875163494,-0.19024718923,38.049437846,39.4762917652,-1.42685391922,5.04155051459,4.99398871728,0.0475617973075,4.99398871728,0.0475617973075,5.13667410921,12.2709437053,12.2709437053,0.0,12.223381908,0.0475617973075,0.0475617973075,3.99519097383,1.61710110845,0.428056175767,0.0475617973075,-0.243850121394,-0.198914537958
661,MARCHENKO,ALEXEY,D,47,66.0,18.5141666667,15.7836111111,52.3327642949,50.1786311399,2.154133155,38.5843262174,39.8514633674,-1.26713715,3.86476830749,3.80141144999,0.0633568574999,3.80141144999,0.0633568574999,4.18155259499,2.2174900125,2.2174900125,0.0,2.2174900125,0.0,0.126713715,2.3442037275,1.52056458,0.380141144999,0.0633568574999,-0.395718437991,0.0336768929854
662,MACDONALD,ANDREW,D,47,28.0,9.38888888889,7.73888888889,56.0804020101,58.4063173008,-2.32591529074,40.4450825556,38.5068198134,1.93826274228,7.36539842067,7.23618090452,0.129217516152,7.23618090452,0.129217516152,8.52835606604,1.55061019383,1.55061019383,0.0,1.55061019383,0.0,0.129217516152,2.19669777459,2.19669777459,0.387652548457,0.129217516152,0.667953642399,1.00351332616
663,PROUT,DALTON,D,47,64.0,17.2508333333,15.6733333333,50.3402807316,51.9991492982,-1.65886856657,38.4091875798,38.4729902169,-0.0638026371757,3.82815823054,3.76435559336,0.0638026371757,3.76435559336,0.0638026371757,3.76435559336,7.46490854955,7.46490854955,0.0,7.46490854955,0.0,0.127605274351,4.08336877924,1.46746065504,0.382815823054,0.0638026371757,-0.479259909978,0.040241257503
664,WARSOFSKY,DAVID,D,47,22.0,6.27861111111,5.30361111111,57.885088776,51.6629131095,6.22217566647,44.686534332,40.538417221,4.14811711098,4.14811711098,3.95956633321,0.188550777772,3.95956633321,0.188550777772,3.95956633321,0.94275388886,0.94275388886,0.0,0.94275388886,0.0,0.0,6.22217566647,3.01681244435,0.377101555544,0.188550777772,1.95813297973,1.87723004864
665,LINDHOLM,HAMPUS,D,47,80.0,29.3358333333,22.6211111111,60.0766245886,44.7811778575,15.2954467312,44.9137973378,32.6243921607,12.2894051771,3.40389999509,3.40389999509,0.0,3.35969350165,0.0442064934427,3.71334544919,2.6965961,2.65238960656,0.0442064934427,2.60818311312,0.0884129868854,0.0884129868854,3.89017142296,2.34294415246,0.663097401641,0.0442064934427,0.898023975063,-0.248323335243
666,ODUYA,JOHNNY,D,47,82.0,27.8480555556,22.9272222222,56.5703070101,54.9565048826,1.6138021275,41.828006494,40.5195182825,1.30848821149,5.58288303569,5.58288303569,0.0,5.58288303569,0.0,5.80096440427,2.79144151785,2.74782524413,0.0436162737163,2.74782524413,0.0436162737163,0.130848821149,2.48612760183,1.30848821149,0.872325474327,0.0436162737163,-0.729350500276,-0.257014663358
667,JORDAN,MICHAL,D,47,36.0,9.09833333333,8.68833333333,52.5992710531,47.9953961251,4.60387492806,38.6725493957,36.8309994245,1.84154997123,3.56800306925,3.56800306925,0.0,3.56800306925,0.0,3.68309994245,2.64722808364,2.64722808364,0.0,2.64722808364,0.0,0.115096873202,3.91329368885,0.920774985613,0.460387492806,0.0,-1.33928909945,-0.899289614674
