last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
WARD,CAM,G,30,CAM WARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUTTON,CARTER,G,30,CARTER HUTTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLEBUYCK,CONNOR,G,30,CONNOR HELLEBUYCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCELHINNEY,CURTIS,G,30,CURTIS MCELHINNEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUNDQVIST,HENRIK,G,30,HENRIK LUNDQVIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERUBE,JEAN-FRANCOIS,G,30,JEAN-FRANCOIS BERUBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMITH,JEREMY,G,30,JEREMY SMITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANGHAMER,MAREK,G,30,MAREK LANGHAMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MURRAY,MATTHEW,G,30,MATTHEW MURRAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEUVIRTH,MICHAL,G,30,MICHAL NEUVIRTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCKENNA,MIKE,G,30,MIKE MCKENNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPLEY,PHEONIX,G,30,PHEONIX COPLEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MILLER,RYAN,G,30,RYAN MILLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCALE,ZACHARY,G,30,ZACHARY FUCALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORSBERG,ANTON,G,31,ANTON FORSBERG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
