last,first,pos,num,comb,shots,oz_shot,nz_shot,dz_shot,p1_shot,p2_shot,p3_shot,ot_shot,5v5_shot,ev_shot,pp_shot,sh_shot,shot_for_oi,shot_for_oi_5v5,shot_against_oi,shot_against_oi_5v5,shot_wrist,shot_slap,shot_snap,shot_back,shot_deflect,shot_tip,shot_wrap,shot_other
SCHLEMKO,DAVID,D,8,DAVID SCHLEMKO,99.0,92.0,5.0,2.0,24.0,43.0,30.0,2.0,67.0,79.0,19.0,1.0,516.0,368.0,459.0,371.0,36.0,25.0,31.0,6.0,0.0,1.0,0.0,0.0
DOUGHTY,DREW,D,8,DREW DOUGHTY,183.0,162.0,17.0,4.0,55.0,51.0,73.0,4.0,125.0,134.0,47.0,2.0,1153.0,867.0,913.0,662.0,66.0,90.0,25.0,0.0,0.0,2.0,0.0,0.0
REINHART,GRIFFIN,D,8,GRIFFIN REINHART,24.0,22.0,2.0,0.0,8.0,6.0,10.0,0.0,22.0,24.0,0.0,0.0,216.0,196.0,255.0,220.0,7.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0
TROUBA,JACOB,D,8,JACOB TROUBA,127.0,123.0,3.0,1.0,39.0,39.0,46.0,3.0,99.0,105.0,17.0,5.0,775.0,658.0,817.0,581.0,68.0,39.0,11.0,5.0,2.0,0.0,0.0,2.0
KLEIN,KEVIN,D,8,KEVIN KLEIN,60.0,54.0,6.0,0.0,23.0,19.0,16.0,2.0,53.0,55.0,5.0,0.0,568.0,495.0,672.0,524.0,22.0,24.0,8.0,3.0,0.0,3.0,0.0,0.0
GRANBERG,PETTER,D,8,PETTER GRANBERG,12.0,11.0,1.0,0.0,6.0,2.0,4.0,0.0,11.0,12.0,0.0,0.0,130.0,127.0,165.0,154.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
OVECHKIN,ALEX,L,8,ALEX OVECHKIN,348.0,341.0,7.0,0.0,105.0,112.0,115.0,16.0,204.0,225.0,123.0,0.0,930.0,580.0,567.0,490.0,179.0,96.0,51.0,13.0,2.0,7.0,0.0,0.0
ABDELKADER,JUSTIN,L,8,JUSTIN ABDELKADER,136.0,134.0,2.0,0.0,41.0,43.0,48.0,4.0,99.0,106.0,28.0,2.0,690.0,471.0,639.0,496.0,59.0,18.0,18.0,17.0,9.0,13.0,0.0,2.0
SKILLE,JACK,R,8,JACK SKILLE,98.0,95.0,1.0,2.0,38.0,28.0,32.0,0.0,93.0,93.0,2.0,3.0,268.0,255.0,348.0,329.0,61.0,7.0,11.0,12.0,2.0,2.0,0.0,3.0
TENNYSON,MATT,D,80,MATT TENNYSON,22.0,19.0,1.0,2.0,11.0,7.0,4.0,0.0,17.0,17.0,5.0,0.0,150.0,115.0,124.0,110.0,9.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0
ELLER,LARS,C,81,LARS ELLER,138.0,133.0,3.0,2.0,45.0,52.0,36.0,5.0,107.0,120.0,11.0,7.0,542.0,451.0,512.0,407.0,71.0,18.0,15.0,20.0,2.0,10.0,0.0,2.0
KESSEL,PHIL,C,81,PHIL KESSEL,249.0,248.0,1.0,0.0,76.0,93.0,69.0,11.0,164.0,186.0,63.0,0.0,925.0,597.0,595.0,524.0,152.0,11.0,72.0,8.0,1.0,5.0,0.0,0.0
HOSSA,MARIAN,R,81,MARIAN HOSSA,178.0,177.0,0.0,1.0,48.0,70.0,57.0,3.0,139.0,146.0,20.0,12.0,530.0,415.0,497.0,375.0,114.0,20.0,27.0,11.0,0.0,4.0,0.0,2.0
MEDVEDEV,EVGENY,D,82,EVGENY MEDVEDEV,68.0,65.0,1.0,2.0,26.0,22.0,17.0,3.0,47.0,54.0,13.0,1.0,381.0,316.0,366.0,322.0,16.0,37.0,11.0,2.0,0.0,2.0,0.0,0.0
OESTERLE,JORDAN,D,82,JORDAN OESTERLE,24.0,23.0,1.0,0.0,7.0,8.0,9.0,0.0,20.0,23.0,1.0,0.0,165.0,126.0,157.0,139.0,6.0,7.0,5.0,3.0,1.0,2.0,0.0,0.0
FOLIGNO,MARCUS,L,82,MARCUS FOLIGNO,72.0,72.0,0.0,0.0,25.0,27.0,19.0,1.0,67.0,71.0,0.0,1.0,409.0,391.0,460.0,428.0,46.0,3.0,9.0,5.0,2.0,5.0,0.0,2.0
GOLDOBIN,NIKOLAY,R,82,NIKOLAY GOLDOBIN,6.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,6.0,0.0,0.0,33.0,33.0,52.0,52.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
