,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60
234,TATAR,TOMAS,C,21,81.0,19.3741666667,15.3947222222,56.9675754678,43.8461954855,13.1213799823,43.196622219,35.7265296548,7.47009256419,1.10427455297,1.10427455297,0.0,1.10427455297,0.0,1.16923187961,4.41709821187,4.41709821187,0.0,4.35214088522,0.0649573266451,0.844445246387,7.14530593096,1.2991465329,1.75384781942
235,TROCHECK,VINCENT,C,21,76.0,22.5088888889,16.9813888889,52.1158784944,49.1714785795,2.94439991494,40.0438388432,38.5716388857,1.47219995747,1.88441594556,1.88441594556,0.0,1.88441594556,0.0,2.00219194216,7.00767179756,7.00767179756,0.0,6.94878379926,0.0588879982988,1.11887196768,6.12435182307,1.17775996598,2.23774393535
236,FERENCE,ANDREW,D,21,6.0,1.30583333333,1.17388888889,48.5565546616,56.2233790819,-7.66682442026,35.7785139612,42.5934690014,-6.81495504023,3.40747752011,3.40747752011,0.0,3.40747752011,0.0,3.40747752011,7.66682442026,6.81495504023,0.851869380028,6.81495504023,0.851869380028,0.0,2.55560814009,1.70373876006,0.0
237,POTTER,COREY,D,21,1.0,0.245555555556,0.244722222222,73.5527809308,44.9489216799,28.6038592509,49.0351872872,36.7763904654,12.2587968218,4.08626560726,4.08626560726,0.0,4.08626560726,0.0,4.08626560726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,WISNIEWSKI,JAMES,D,21,1.0,0.0130555555556,0.0130555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5957446809,76.5957446809,0.0,76.5957446809,0.0,0.0,0.0,0.0,0.0
239,KOSTKA,MICHAEL,D,21,15.0,3.72222222222,3.4475,48.4408992023,61.4938361131,-13.0529369108,36.8382886149,45.5402465555,-8.70195794054,5.22117476432,5.22117476432,0.0,5.22117476432,0.0,5.80130529369,2.03045685279,2.03045685279,0.0,2.03045685279,0.0,0.0,2.61058738216,1.74039158811,0.0
240,ROUSSEL,ANTOINE,L,21,80.0,18.4761111111,15.6755555556,62.0711652963,59.3918344202,2.6793308761,45.2934505245,43.0606747944,2.23277573008,2.48795009923,2.48795009923,0.0,2.36036291466,0.127587184576,2.87071165296,7.20867592855,7.20867592855,0.0,7.20867592855,0.0,0.637935922881,5.8690104905,1.40345903034,1.5948398072
241,VAN RIEMSDYK,JAMES,L,21,40.0,11.8419444444,9.36055555556,65.2739034958,54.3771143688,10.896789127,48.0740696777,42.7325063802,5.34156329753,0.640987595703,0.640987595703,0.0,0.640987595703,0.0,0.747818861654,5.02106949967,5.02106949967,0.0,5.02106949967,0.0,0.854650127604,8.54650127604,1.17514392546,2.99127544661
242,RYCHEL,KERBY,L,21,32.0,5.07416666667,5.02583333333,45.9625269441,55.9111258498,-9.94859890565,32.0344884762,40.9882274913,-8.95373901509,1.79074780302,1.79074780302,0.0,1.79074780302,0.0,1.79074780302,7.75990714641,7.75990714641,0.0,7.75990714641,0.0,0.397943956226,5.96915934339,1.79074780302,1.79074780302
243,ERIKSSON,LOUI,L,21,82.0,26.625,18.9097222222,58.4355490268,54.0462724936,4.38927653324,44.0514138817,40.0852001469,3.96621373485,1.32207124495,1.32207124495,0.0,1.32207124495,0.0,1.37495409475,1.11053984576,1.11053984576,0.0,1.11053984576,0.0,0.846125596768,5.60558207859,1.21630554535,1.95666544253
244,RAYMOND,MASON,L,21,29.0,5.965,5.26083333333,54.1739268177,62.157452875,-7.98352605734,38.967210518,43.7193093616,-4.75209884366,1.33058767622,1.33058767622,0.0,1.33058767622,0.0,1.33058767622,2.28100744495,2.28100744495,0.0,2.28100744495,0.0,0.760335814985,8.17361001109,1.90083953746,1.52067162997
245,LAUGHTON,SCOTT,L,21,71.0,12.3466666667,11.1486111111,52.6522984926,58.3032266102,-5.6509281176,38.6595241061,42.3371122462,-3.67758814003,2.33212906441,2.33212906441,0.0,2.33212906441,0.0,2.33212906441,7.62426809518,7.62426809518,0.0,7.53457082347,0.089697271708,0.627880901956,6.54790083468,1.79394543416,1.97333997758
246,SMITH,BEN,R,21,22.0,4.43388888889,3.72305555556,52.6449302395,60.1656345594,-7.52070431993,37.8721181825,45.9300156681,-8.05789748564,2.68596582855,2.68596582855,0.0,2.68596582855,0.0,3.22315899426,4.56614190853,4.56614190853,0.0,4.56614190853,0.0,0.537193165709,4.02894874282,0.537193165709,1.88017607998
247,SMITH-PELLY,DEVANTE,R,21,64.0,13.1119444444,11.7097222222,46.457122524,51.3248724944,-4.86774997035,34.9282410153,38.9419997628,-4.01375874748,1.70798244574,1.70798244574,0.0,1.70798244574,0.0,1.70798244574,8.45451310639,8.45451310639,0.0,8.45451310639,0.0,1.19558771202,6.14873680465,1.2809868343,0.597793856008
248,OKPOSO,KYLE,R,21,79.0,23.9708333333,18.7513888889,56.5291459892,54.3959706688,2.13317532035,41.3836012147,37.063921191,4.3196800237,2.07984593734,2.07984593734,0.0,2.02651655433,0.0533293830087,2.07984593734,4.47966817273,4.47966817273,0.0,4.47966817273,0.0,0.586623213095,7.4127842382,2.55981038442,1.91985778831
249,SCEVIOUR,COLTON,C,22,71.0,14.9938888889,12.0744444444,56.7313886077,55.5719149719,1.15947363578,40.5815772522,40.4159381614,0.165639090825,2.98150363486,2.98150363486,0.0,2.98150363486,0.0,3.06432318027,5.54890954265,5.54890954265,0.0,5.54890954265,0.0,0.828195454127,7.7850372688,1.82202999908,2.07048863532
250,SHORE,DREW,C,22,2.0,0.466388888889,0.299444444444,60.1113172542,53.4322820037,6.67903525046,43.413729128,40.0742115028,3.33951762523,3.33951762523,3.33951762523,0.0,3.33951762523,0.0,3.33951762523,0.0,0.0,0.0,0.0,0.0,0.0,10.0185528757,0.0,3.33951762523
251,VARONE,PHIL,C,22,6.0,0.850833333333,0.844722222222,37.8822755672,73.3969089115,-35.5146333443,26.0440644525,58.0072344623,-31.9631700099,7.10292666886,7.10292666886,0.0,7.10292666886,0.0,7.10292666886,4.73528444591,4.73528444591,0.0,4.73528444591,0.0,1.18382111148,1.18382111148,0.0,1.18382111148
252,HORCOFF,SHAWN,C,22,59.0,13.0627777778,10.9122222222,51.0436819061,50.4021993687,0.64148253742,38.4889522452,37.7558293453,0.733122899908,1.46624579982,1.46624579982,0.0,1.46624579982,0.0,1.64952652479,4.58201812443,4.58201812443,0.0,4.58201812443,0.0,0.458201812443,5.77334283678,2.56593014968,0.733122899908
253,LEWIS,TREVOR,C,22,75.0,18.1997222222,15.2666666667,56.7903930131,45.1310043668,11.6593886463,43.8209606987,32.2925764192,11.5283842795,1.1135371179,1.1135371179,0.0,1.1135371179,0.0,1.17903930131,10.1528384279,10.1528384279,0.0,10.1528384279,0.0,0.327510917031,8.84279475983,1.0480349345,0.851528384279
254,BOYLE,DAN,D,22,74.0,23.2044444444,18.9569444444,54.4919041688,54.6501575207,-0.158253351894,40.4601069675,41.0931203751,-0.633013407576,4.64209832222,4.58934720492,0.052751117298,4.48384497033,0.158253351894,4.90585390871,3.27056927247,3.27056927247,0.0,3.27056927247,0.0,0.26375558649,2.90131145139,2.21554692651,0.896768994065
255,SHATTENKIRK,KEVIN,D,22,72.0,26.9016666667,19.6955555556,54.4792959495,49.5035541013,4.97574184813,39.5012975291,36.150287713,3.35100981609,4.36646733612,4.31569446012,0.0507728760014,4.26492158411,0.101545752003,4.97574184813,3.6556470721,3.6556470721,0.0,3.6556470721,0.0,0.253864380007,5.78810786415,1.16777614803,1.47241340404
256,SCHENN,LUKE,D,22,72.0,21.0855555556,17.7788888889,56.5839635023,55.0653084182,1.51865508406,40.1599900006,41.2849196925,-1.12492969189,3.99350040622,3.99350040622,0.0,3.99350040622,0.0,4.04974689082,11.5305293419,11.5305293419,0.0,11.3617898881,0.168739453784,0.168739453784,3.65602149866,2.58733829136,0.562464845947
257,REDMOND,ZACH,D,22,37.0,7.26555555556,7.06138888889,49.9901656111,57.2125408127,-7.2223752016,36.3951064081,42.0597144093,-5.66460800126,5.23976240116,5.09814720113,0.141615200031,5.09814720113,0.141615200031,5.23976240116,6.37268400142,6.23106880138,0.141615200031,6.23106880138,0.141615200031,0.141615200031,2.6906888006,1.69938240038,0.708076000157
258,CUNNINGHAM,CRAIG,L,22,10.0,1.68055555556,1.63722222222,45.8092975908,61.0790634544,-15.2697658636,31.7611129963,47.6416694944,-15.8805564981,1.83237190363,1.83237190363,0.0,1.83237190363,0.0,1.83237190363,9.16185951815,9.16185951815,0.0,9.16185951815,0.0,0.0,7.94027824907,0.610790634544,1.22158126909
259,SEDIN,DANIEL,L,22,82.0,25.0561111111,18.4625,50.6431956669,51.9972918077,-1.35409614083,38.672985782,40.6770480704,-2.00406228842,0.866621530129,0.866621530129,0.0,0.866621530129,0.0,0.866621530129,0.866621530129,0.866621530129,0.0,0.866621530129,0.0,0.866621530129,8.66621530129,1.29993229519,1.13744075829
260,LARSSON,JOHAN,L,22,74.0,18.2775,16.1141666667,50.0801572116,56.8443915809,-6.76423436934,36.8619744531,44.1226663909,-7.26069193774,1.86171588147,1.86171588147,0.0,1.86171588147,0.0,1.98583027357,6.64011997725,6.64011997725,0.0,6.64011997725,0.0,0.496457568392,4.09577493924,0.744686352588,1.17908672493
261,SCOTT,JOHN,L,22,12.0,1.30555555556,1.24944444444,38.4170742552,40.0177856825,-1.6007114273,27.2120942641,27.2120942641,0.0,1.6007114273,1.6007114273,0.0,1.6007114273,0.0,1.6007114273,18.408181414,18.408181414,0.0,18.408181414,0.0,0.0,4.8021342819,2.40106714095,0.800355713651
262,MOUILLIERAT,KAEL,L,22,1.0,0.178055555556,0.175555555556,22.7848101266,45.5696202532,-22.7848101266,17.0886075949,34.1772151899,-17.0886075949,0.0,0.0,0.0,0.0,0.0,0.0,22.7848101266,22.7848101266,0.0,22.7848101266,0.0,0.0,5.69620253165,0.0,5.69620253165
263,THORNTON,SHAWN,L,22,50.0,7.24083333333,7.13555555556,40.6415446901,44.8458424167,-4.20429772656,33.2139520399,35.1759576456,-1.96200560573,0.280286515104,0.280286515104,0.0,0.280286515104,0.0,0.280286515104,10.2304578013,10.2304578013,0.0,10.2304578013,0.0,0.140143257552,7.84802242292,0.560573030209,1.26128931797
264,MILANO,SONNY,L,22,3.0,0.668888888889,0.668888888889,55.3156146179,44.8504983389,10.4651162791,38.8704318937,34.3853820598,4.48504983389,2.99003322259,2.99003322259,0.0,2.99003322259,0.0,2.99003322259,5.98006644518,5.98006644518,0.0,5.98006644518,0.0,0.0,2.99003322259,1.4950166113,1.4950166113
265,CRACKNELL,ADAM,R,22,52.0,10.6002777778,9.7775,47.9672717975,54.5129122986,-6.54564050115,34.978266428,39.8874968039,-4.90923037586,2.3523395551,2.3523395551,0.0,2.3523395551,0.0,2.55689082076,12.4776272053,12.4776272053,0.0,12.4776272053,0.0,0.511378164152,6.23881360266,1.22730759397,2.3523395551
266,THORBURN,CHRIS,R,22,82.0,13.8325,12.6811111111,46.5258915272,55.6733549461,-9.14746341891,34.3818452642,41.3213002716,-6.93945500745,2.12915096819,2.12915096819,0.0,2.12915096819,0.0,2.12915096819,10.8034697275,10.8034697275,0.0,10.8034697275,0.0,0.394287216332,4.81030403925,1.182861649,0.709716989398
267,WEISE,DALE,R,22,71.0,15.86,13.6955555556,56.7337335713,51.768619179,4.96511439234,40.7431445724,38.1145546,2.62858997242,1.6063605387,1.6063605387,0.0,1.6063605387,0.0,1.75239331494,8.76196657472,8.76196657472,0.0,8.76196657472,0.0,0.730163881227,7.88576991725,1.09524582184,1.24127859809
268,CONDRA,ERIK,R,22,54.0,9.63611111111,8.44638888889,55.5266879337,45.4632157069,10.0634722268,39.3067385799,34.0974117802,5.20932679975,1.53911928174,1.53911928174,0.0,1.53911928174,0.0,1.53911928174,2.36787581807,2.36787581807,0.0,2.36787581807,0.0,0.71036274542,5.56450817246,1.06554411813,1.18393790903
269,TOOTOO,JORDIN,R,22,66.0,12.6805555556,11.1775,40.9751733393,46.8798926415,-5.90471930217,32.4759561619,34.1757995974,-1.69984343547,1.6103779915,1.6103779915,0.0,1.6103779915,0.0,1.6103779915,8.85707895325,8.85707895325,0.0,8.76761350928,0.0894654439723,0.178930887945,7.15723551778,1.96823976739,1.52091254753
270,NIEDERREITER,NINO,R,22,82.0,21.1852777778,17.6741666667,57.2021311707,48.0362110425,9.16592012825,43.3966712245,34.5136498656,8.88302135886,1.07501532368,1.07501532368,0.0,1.07501532368,0.0,1.07501532368,6.84615021925,6.84615021925,0.0,6.84615021925,0.0,0.905276062049,6.50667169598,0.961855815927,1.75397237022
271,KELLY,CHRIS,C,23,11.0,2.39916666667,1.88694444444,39.7467981746,59.8851759164,-20.1383777418,30.2075666127,42.9265420286,-12.7189754159,5.82953039894,5.82953039894,0.0,5.82953039894,0.0,5.82953039894,6.88944501693,6.88944501693,0.0,6.88944501693,0.0,0.529957308995,2.64978654497,1.05991461799,0.529957308995
272,MEGNA,JAYSON,C,23,6.0,1.22472222222,1.05055555556,59.9682707562,58.064516129,1.90375462718,42.8344791116,39.9788471708,2.85563194077,0.951877313591,0.951877313591,0.0,0.951877313591,0.0,0.951877313591,5.71126388154,5.71126388154,0.0,5.71126388154,0.0,0.951877313591,6.66314119513,1.90375462718,0.951877313591
273,HENDRICKS,MATT,C,23,68.0,14.9997222222,11.8858333333,50.0595947557,59.8191123887,-9.75951763304,35.5885858515,42.5716889855,-6.98310313398,3.78601977144,3.78601977144,0.0,3.78601977144,0.0,3.87015354414,14.3868751315,14.3868751315,0.0,14.3868751315,0.0,0.336535090794,4.54322372572,1.26200659048,0.757203954287
274,GRIMALDI,ROCCO,C,23,20.0,3.955,3.68722222222,44.4779267741,47.4612023505,-2.98327557631,34.7144794335,40.138616845,-5.42413741148,0.542413741148,0.542413741148,0.0,0.542413741148,0.0,0.542413741148,4.61051679976,4.61051679976,0.0,4.61051679976,0.0,0.813620611722,5.96655115263,1.35603435287,2.71206870574
275,REINHART,SAM,C,23,79.0,22.1675,17.2719444444,55.002492803,52.9760851735,2.02640762959,41.1071262002,40.5281525917,0.578973608453,1.38953666029,1.38953666029,0.0,1.38953666029,0.0,1.44743402113,1.44743402113,1.44743402113,0.0,1.44743402113,0.0,0.752665690989,6.36870969298,1.04215249522,1.04215249522
276,GOMEZ,SCOTT,C,23,34.0,6.42444444444,5.3175,51.1518570757,61.3070051716,-10.1551480959,40.8086506817,48.5190409027,-7.71039022097,1.88058298072,1.69252468265,0.188058298072,1.69252468265,0.188058298072,1.69252468265,0.564174894217,0.564174894217,0.0,0.564174894217,0.0,0.188058298072,3.19699106723,2.0686412788,0.940291490362
277,WILSON,SCOTT,C,23,24.0,4.27472222222,3.90305555556,54.0602092378,46.1177140417,7.94249519607,39.9686855028,32.7948188741,7.17386662871,1.53725713472,1.53725713472,0.0,1.53725713472,0.0,1.53725713472,9.73596185325,9.73596185325,0.0,9.73596185325,0.0,0.768628567362,7.43007615116,1.28104761227,1.28104761227
278,MONAHAN,SEAN,C,23,81.0,25.8480555556,18.9188888889,53.4386562518,57.5615199389,-4.12286368709,39.3786339343,41.4400657779,-2.06143184354,1.79714570976,1.79714570976,0.0,1.79714570976,0.0,1.79714570976,1.69143125624,1.69143125624,0.0,1.69143125624,0.0,1.00428730839,6.07858107711,1.744288483,2.74857579139
279,SILL,ZACH,C,23,10.0,1.65555555556,1.51138888889,53.5930895056,50.284874104,3.30821540158,39.0369417387,34.4054401764,4.63150156221,3.9698584819,3.9698584819,0.0,3.30821540158,0.661643080316,3.9698584819,13.2328616063,13.2328616063,0.0,12.571218526,0.661643080316,0.661643080316,7.93971696379,1.98492924095,2.64657232126
280,EDLER,ALEXANDER,D,23,52.0,21.1922222222,15.2372222222,46.6620483465,52.7655230248,-6.10347467824,36.6864768294,36.8833631093,-0.196886279943,5.11904327852,4.98778575856,0.131257519962,4.98778575856,0.131257519962,5.1846720385,4.26586939877,4.20024063879,0.065628759981,4.20024063879,0.065628759981,0.196886279943,4.52838443869,1.96886279943,0.853173879754
281,MANNING,BRANDON,D,23,56.0,15.4141666667,13.8419444444,61.4798017298,56.4227087556,5.05709297425,43.996708876,42.6963135398,1.30039533624,3.32323252594,3.32323252594,0.0,3.32323252594,0.0,3.46772089663,5.99626738376,5.85177901306,0.144488370693,5.77953482772,0.216732556039,0.0722441853465,4.47913949148,1.22815115089,0.505709297425
