last,first,pos,num,comb,goals,assists,prim_assist,sec_assist,oz_goal,nz_goal,dz_goal,p1_goal,p2_goal,p3_goal,ot_goal,5v5_goal,ev_goal,pp_goal,sh_goal,goal_for_oi,goal_for_oi_5v5,goal_against_oi,goal_against_oi_5v5,p1_assist,p2_assist,p3_assist,ot_assist,5v5_assist,ev_assist,pp_assist,sh_assist,goal_wrist,goal_slap,goal_snap,goal_back,goal_deflect,goal_tip,goal_wrap,goal_noshot,goal_other
MAYFIELD,SCOTT,D,42,SCOTT MAYFIELD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLEPYSHEV,ANTON,L,42,ANTON SLEPYSHEV,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELLECK,ERIC,L,42,ERIC SELLECK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKES,DAVID,R,42,DAVID BACKES,22.0,24.0,17.0,7.0,20.0,1.0,1.0,9.0,4.0,7.0,2.0,8.0,14.0,8.0,0.0,76.0,35.0,56.0,31.0,5.0,6.0,13.0,0.0,17.0,19.0,5.0,0.0,13.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0
WARD,JOEL,R,42,JOEL WARD,21.0,22.0,14.0,8.0,20.0,0.0,1.0,5.0,9.0,7.0,0.0,12.0,15.0,5.0,1.0,64.0,35.0,75.0,39.0,6.0,7.0,9.0,0.0,14.0,14.0,7.0,1.0,8.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
ANDRIGHETTO,SVEN,R,42,SVEN ANDRIGHETTO,9.0,10.0,5.0,5.0,9.0,0.0,0.0,2.0,4.0,1.0,2.0,6.0,8.0,1.0,0.0,28.0,24.0,24.0,18.0,5.0,4.0,0.0,1.0,8.0,9.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
CATENACCI,DANIEL,C,43,DANIEL CATENACCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELM,DARREN,C,43,DARREN HELM,13.0,13.0,7.0,6.0,12.0,1.0,0.0,2.0,4.0,6.0,1.0,10.0,13.0,0.0,0.0,42.0,32.0,59.0,35.0,4.0,5.0,4.0,0.0,12.0,13.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
KADRI,NAZEM,C,43,NAZEM KADRI,18.0,28.0,20.0,8.0,17.0,1.0,0.0,3.0,6.0,7.0,2.0,9.0,14.0,4.0,0.0,70.0,33.0,66.0,50.0,5.0,9.0,13.0,1.0,11.0,18.0,10.0,0.0,10.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0
DZINGEL,RYAN,C,43,RYAN DZINGEL,3.0,6.0,2.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,16.0,14.0,12.0,10.0,0.0,2.0,4.0,0.0,5.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SVEDBERG,VIKTOR,D,43,VIKTOR SVEDBERG,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,12.0,12.0,20.0,17.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEARY,CONOR,L,43,CONOR SHEARY,7.0,3.0,2.0,1.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,14.0,13.0,14.0,12.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
