Team,	PTS,	TOI,	GF,	GA,	GF60,	GA60,	GF%,	SF,	SA,	SF60,	SA60,	SF%,	FF,	FA,	FF60,	FA60,	FF%,	CF,	CA,	CF60,	CA60,	CF%,	Sh%,	Sv%,	PDO,	PIM,
Anaheim12,	80,	87.5763888888889,	83,	96,	2.37,	2.74,	46.4,	1002,	1058,	28.6,	30.2,	48.6,	1420,	1529,	40.5,	43.6,	48.1,	1915,	2040,	54.7,	58.2,	48.4,	8.28,	90.93,	992,	980,
Boston12,	102,	89.0888888888889,	91,	93,	2.55,	2.61,	49.5,	1181,	1128,	33.1,	31.7,	51.1,	1662,	1521,	46.6,	42.7,	52.2,	2243,	1994,	62.9,	56,	52.9,	7.71,	91.76,	995,	1103,
Buffalo12,	89,	88.14375,	87,	73,	2.47,	2.07,	54.4,	1090,	1149,	30.9,	32.6,	48.7,	1472,	1592,	41.8,	45.2,	48,	1996,	2098,	56.6,	59.5,	48.8,	7.98,	93.65,	1016,	904,
Calgary12,	90,	88.7513888888889,	81,	73,	2.28,	2.06,	52.6,	1053,	1119,	29.7,	31.5,	48.5,	1425,	1546,	40.1,	43.5,	48,	1904,	2005,	53.6,	56.5,	48.7,	7.69,	93.48,	1012,	885,
Carolina12,	82,	92.4611111111111,	84,	86,	2.27,	2.33,	49.4,	1116,	1245,	30.2,	33.7,	47.3,	1577,	1735,	42.6,	46.9,	47.6,	2149,	2332,	58.1,	63.1,	48,	7.53,	93.09,	1006,	763,
Chicago12,	101,	83.9125,	98,	92,	2.92,	2.74,	51.6,	1143,	1023,	34.1,	30.5,	52.8,	1549,	1375,	46.1,	41,	53,	2067,	1797,	61.6,	53.5,	53.5,	8.57,	91.01,	996,	848,
Colorado12,	65,	88.7340277777778,	83,	89,	2.34,	2.51,	48.3,	1157,	1151,	32.6,	32.4,	50.1,	1557,	1583,	43.9,	44.6,	49.6,	2123,	2059,	59.8,	58,	50.8,	7.17,	92.27,	994,	902,
Columbus12,	88,	80.8506944444444,	74,	87,	2.29,	2.69,	46,	947,	1085,	29.3,	33.5,	46.6,	1273,	1425,	39.4,	44.1,	47.2,	1668,	1888,	51.6,	58.4,	46.9,	7.81,	91.98,	998,	1037,
Dallas12,	89,	85.94375,	76,	87,	2.21,	2.53,	46.6,	1059,	1113,	30.8,	32.4,	48.8,	1529,	1533,	44.5,	44.6,	49.9,	2062,	2095,	60,	60.9,	49.6,	7.18,	92.18,	994,	1032,
Detroit12,	102,	83.4236111111111,	88,	72,	2.64,	2.16,	55,	1091,	915,	32.7,	27.4,	54.4,	1517,	1259,	45.5,	37.7,	54.6,	2011,	1675,	60.3,	50.2,	54.6,	8.07,	92.13,	1002,	699,
Edmonton12,	74,	86.2319444444444,	73,	92,	2.12,	2.67,	44.2,	1010,	1089,	29.3,	31.6,	48.1,	1400,	1488,	40.6,	43.1,	48.5,	1852,	2054,	53.7,	59.5,	47.4,	7.23,	91.55,	988,	942,
Florida12,	94,	91.7708333333333,	67,	72,	1.83,	1.96,	48.2,	1121,	1125,	30.5,	30.6,	49.9,	1555,	1510,	42.4,	41.1,	50.7,	2062,	2029,	56.2,	55.3,	50.4,	5.98,	93.6,	996,	792,
Los Angeles12,	95,	91.19375,	79,	64,	2.17,	1.75,	55.2,	1204,	994,	33,	27.2,	54.8,	1691,	1440,	46.4,	39.5,	54,	2307,	1872,	63.2,	51.3,	55.2,	6.56,	93.56,	1001,	923,
Minnesota12,	81,	86.8423611111111,	59,	77,	1.7,	2.22,	43.4,	947,	1132,	27.3,	32.6,	45.6,	1289,	1631,	37.1,	47,	44.1,	1729,	2224,	49.8,	64,	43.7,	6.23,	93.2,	994,	994,
Montreal12,	78,	83.1743055555556,	91,	77,	2.74,	2.31,	54.2,	949,	1073,	28.5,	32.3,	46.9,	1306,	1487,	39.3,	44.7,	46.8,	1829,	2033,	55,	61.1,	47.4,	9.59,	92.82,	1024,	954,
Nashville12,	104,	85.9055555555556,	90,	82,	2.62,	2.39,	52.3,	972,	1110,	28.3,	32.3,	46.7,	1328,	1524,	38.6,	44.4,	46.6,	1738,	2039,	50.6,	59.3,	46,	9.26,	92.61,	1019,	689,
New Jersey12,	102,	93.5791666666667,	67,	82,	1.79,	2.19,	45,	1069,	1044,	28.6,	27.9,	50.6,	1439,	1385,	38.4,	37,	51,	1880,	1820,	50.2,	48.6,	50.8,	6.27,	92.15,	984,	944,
NY Islanders12,	79,	91.7847222222222,	81,	96,	2.21,	2.61,	45.8,	1125,	1110,	30.6,	30.2,	50.3,	1542,	1578,	42,	43,	49.4,	2062,	2237,	56.2,	60.9,	48,	7.2,	91.35,	986,	763,
NY Rangers12,	109,	95.0201388888889,	86,	73,	2.26,	1.92,	54.1,	1096,	1075,	28.8,	28.3,	50.5,	1504,	1509,	39.6,	39.7,	49.9,	2022,	2135,	53.2,	56.2,	48.6,	7.85,	93.21,	1011,	1059,
Ottawa12,	92,	87.1534722222222,	88,	96,	2.52,	2.75,	47.8,	1163,	1176,	33.4,	33.7,	49.7,	1617,	1582,	46.4,	45.4,	50.5,	2190,	2072,	62.8,	59.4,	51.4,	7.57,	91.84,	994,	1145,
Philadelphia12,	103,	79.5020833333333,	90,	82,	2.83,	2.58,	52.3,	1053,	943,	33.1,	29.7,	52.8,	1421,	1338,	44.7,	42.1,	51.5,	1938,	1804,	60.9,	56.7,	51.8,	8.55,	91.3,	998,	1318,
Phoenix12,	97,	87.3770833333333,	91,	89,	2.6,	2.55,	50.6,	1107,	1158,	31.7,	33.1,	48.9,	1572,	1642,	45,	47,	48.9,	2081,	2137,	59.5,	61.1,	49.3,	8.22,	92.31,	1005,	757,
Pittsburgh12,	108,	80.9291666666667,	93,	88,	2.87,	2.72,	51.4,	1135,	880,	35.1,	27.2,	56.3,	1563,	1261,	48.3,	39,	55.4,	2082,	1690,	64.3,	52.2,	55.2,	8.19,	90,	982,	880,
San Jose12,	96,	94.0048611111111,	86,	87,	2.29,	2.31,	49.7,	1228,	1128,	32.7,	30,	52.1,	1700,	1579,	45.2,	42,	51.8,	2283,	2217,	60.7,	59,	50.7,	7,	92.29,	993,	785,
St. Louis12,	109,	94.0381944444444,	87,	65,	2.31,	1.73,	57.2,	1211,	1015,	32.2,	27,	54.4,	1714,	1424,	45.6,	37.9,	54.6,	2252,	1924,	59.9,	51.1,	53.9,	7.18,	93.6,	1008,	1062,
Tampa Bay12,	84,	81.9868055555556,	92,	103,	2.81,	3.14,	47.2,	969,	1013,	29.5,	30.9,	48.9,	1311,	1409,	40,	43,	48.2,	1748,	1972,	53.3,	60.1,	47,	9.49,	89.83,	993,	865,
Toronto12,	80,	83.5791666666667,	85,	90,	2.54,	2.69,	48.6,	958,	1060,	28.7,	31.7,	47.5,	1349,	1530,	40.4,	45.8,	46.9,	1895,	2060,	56.7,	61.6,	47.9,	8.87,	91.51,	1004,	824,
Vancouver12,	111,	85.5013888888889,	86,	74,	2.51,	2.16,	53.8,	1078,	1115,	31.5,	32.6,	49.2,	1504,	1442,	44,	42.2,	51,	2085,	1880,	61,	55,	52.6,	7.98,	93.36,	1013,	1049,
Washington12,	92,	81.1972222222222,	76,	77,	2.34,	2.37,	49.7,	965,	1003,	29.7,	30.9,	49,	1352,	1371,	41.6,	42.2,	49.6,	1853,	1910,	57.1,	58.8,	49.2,	7.88,	92.32,	1002,	767,
Winnipeg12,	84,	87.5986111111111,	91,	89,	2.6,	2.54,	50.6,	1105,	1075,	31.5,	30.7,	50.7,	1595,	1505,	45.5,	43,	51.4,	2103,	2037,	60,	58.1,	50.8,	8.24,	91.72,	1000,	905,
